CONFIGURACION,MODELO,RESULTADO_AC,RESULTADO_SENS,RESULTADO_F1,RESULTADO_ACC,CONFIGURACION_MODELO
0,SVM,0.8235294117647058,0.4666666666666667,0.8990825688073394,0.8331550802139038,"OneClassSVM(gamma=0.1, nu=0.05)"
1,SVM,0.5347593582887701,0.6666666666666666,0.6741573033707866,0.4695187165775402,"OneClassSVM(gamma=0.1, kernel='linear', nu=0.05)"
2,SVM,0.48128342245989303,0.26666666666666666,0.6394052044609665,0.4759358288770054,"OneClassSVM(gamma=0.1, kernel='poly', nu=0.05)"
3,SVM,0.8823529411764706,0.3333333333333333,0.935672514619883,0.8641711229946525,"OneClassSVM(gamma=0.1, kernel='sigmoid', nu=0.05)"
4,SVM,0.8823529411764706,0.4,0.9352941176470587,0.8812834224598931,"OneClassSVM(gamma=0.1, kernel='sigmoid', nu=0.04)"
5,SVM,0.6096256684491979,0.7333333333333333,0.7383512544802867,0.5604278074866311,"OneClassSVM(gamma=0.01, kernel='sigmoid', nu=0.05)"
6,SVM,0.6470588235294118,0.6,0.7724137931034484,0.5967914438502674,"OneClassSVM(gamma=0.01, kernel='sigmoid', nu=0.04)"
7,SVM,0.39572192513368987,0.4666666666666667,0.5425101214574899,0.47379679144385034,"OneClassSVM(gamma=0.001, kernel='sigmoid', nu=0.05)"
8,SVM,0.5026737967914439,0.8,0.6381322957198444,0.4823529411764707,"OneClassSVM(gamma=0.001, kernel='sigmoid', nu=0.04)"
9,SVM,0.8609625668449198,0.3333333333333333,0.923076923076923,0.8716577540106952,"OneClassSVM(gamma=0.2, kernel='sigmoid', nu=0.05)"
10,SVM,0.8770053475935828,0.5333333333333333,0.9313432835820895,0.8759358288770053,"OneClassSVM(gamma=0.2, kernel='sigmoid', nu=0.04)"
11,SVM,0.8877005347593583,0.26666666666666666,0.9391304347826087,0.8770053475935828,"OneClassSVM(gamma=0.5, kernel='sigmoid', nu=0.05)"
12,SVM,0.8770053475935828,0.3333333333333333,0.9325513196480938,0.8994652406417112,"OneClassSVM(gamma=0.5, kernel='sigmoid', nu=0.04)"
