CONFIGURACION,MODELO,RESULTADO_AC,RESULTADO_SENS,RESULTADO_F1,RESULTADO_ACC,CONFIGURACION_MODELO
0,SVM,0.8770053475935828,1.0,0.9283489096573209,0.8748663101604278,"OneClassSVM(gamma=0.1, nu=0.05)"
1,SVM,0.45454545454545453,0.6666666666666666,0.5952380952380952,0.5518716577540106,"OneClassSVM(gamma=0.1, kernel='linear', nu=0.05)"
2,SVM,0.42780748663101603,0.3333333333333333,0.5836575875486382,0.48342245989304816,"OneClassSVM(gamma=0.1, kernel='poly', nu=0.05)"
3,SVM,0.8556149732620321,0.26666666666666666,0.9203539823008848,0.8716577540106952,"OneClassSVM(gamma=0.1, kernel='sigmoid', nu=0.05)"
4,SVM,0.8877005347593583,0.26666666666666666,0.9391304347826087,0.8887700534759357,"OneClassSVM(gamma=0.1, kernel='sigmoid', nu=0.04)"
5,SVM,0.5133689839572193,0.6,0.6566037735849056,0.6064171122994653,"OneClassSVM(gamma=0.01, kernel='sigmoid', nu=0.05)"
6,SVM,0.5080213903743316,0.6,0.6515151515151515,0.558288770053476,"OneClassSVM(gamma=0.01, kernel='sigmoid', nu=0.04)"
7,SVM,0.5080213903743316,0.8666666666666667,0.640625,0.40534759358288774,"OneClassSVM(gamma=0.001, kernel='sigmoid', nu=0.05)"
8,SVM,0.44385026737967914,0.4,0.5968992248062015,0.4919786096256685,"OneClassSVM(gamma=0.001, kernel='sigmoid', nu=0.04)"
9,SVM,0.8663101604278075,0.26666666666666666,0.9266862170087976,0.8727272727272727,"OneClassSVM(gamma=0.2, kernel='sigmoid', nu=0.05)"
10,SVM,0.8556149732620321,0.26666666666666666,0.9203539823008848,0.8705882352941177,"OneClassSVM(gamma=0.2, kernel='sigmoid', nu=0.04)"
11,SVM,0.8716577540106952,0.13333333333333333,0.9306358381502892,0.8727272727272727,"OneClassSVM(gamma=0.5, kernel='sigmoid', nu=0.05)"
12,SVM,0.893048128342246,0.3333333333333333,0.9418604651162791,0.867379679144385,"OneClassSVM(gamma=0.5, kernel='sigmoid', nu=0.04)"
